KEYWORD          |SUBROUTINE |
IDENTIFIER       |CALCULA    |
OPERATOR         |(          |
IDENTIFIER       |X          |
OPERATOR         |,          |
IDENTIFIER       |Y          |
OPERATOR         |)          |
IDENTIFIER       |USE        |
IDENTIFIER       |VARIABLES  |
KEYWORD          |IMPLICIT   |
IDENTIFIER       |NONE       |
KEYWORD          |REAL       |
IDENTIFIER       |X          |
OPERATOR         |,          |
IDENTIFIER       |Y          |
OPERATOR         |,          |
IDENTIFIER       |Z          |
IDENTIFIER       |Z          |
OPERATOR         |=          |
IDENTIFIER       |X          |
OPERATOR         |+          |
IDENTIFIER       |Y          |
KEYWORD          |ENTRY      |
IDENTIFIER       |CALCULA_ALT|
OPERATOR         |(          |
IDENTIFIER       |X          |
OPERATOR         |,          |
IDENTIFIER       |Y          |
OPERATOR         |)          |
IDENTIFIER       |Z          |
OPERATOR         |=          |
IDENTIFIER       |X          |
OPERATOR         |*          |
IDENTIFIER       |Y          |
KEYWORD          |END        |
