archivo,line_count,keyword_count,unique_keywords,nested_structures,complex_constructs,score
repo/WinFileFindData.for,28,13,5,0,0,51
repo/cla_objt.for,12830,3556,37,1774,197,22373
repo/clreport.for,5014,1850,31,582,17,8723
repo/co_objt.for,528,274,28,95,10,1173
repo/dsm_objt.for,4098,1333,33,553,47,7297
repo/elreport.for,81,32,16,8,0,169
repo/finacelm.for,759,241,30,110,8,1414
repo/finaclp2.for,1878,746,21,507,15,4232
repo/finanbse.for,1381,500,30,161,8,2448
repo/gas_objt.for,21124,7242,41,3140,218,38522
repo/midasmod.for,3359,1447,33,447,72,6429
repo/msgandec.for,581,281,26,62,5,1115
repo/msgmmasb.for,374,183,24,46,9,770
repo/msgmmdbt.for,6146,2108,33,1355,61,12568
repo/msgmminp.for,1392,166,22,68,8,1830
repo/msgmmout.for,10162,2359,31,1430,106,17191
repo/msgmmsb6.for,14198,2709,32,1609,41,21921
repo/msgoutpt.for,2342,525,31,218,24,3655
repo/newfred2.for,2515,1029,32,393,53,4946
repo/reaenrg.for,4565,1328,25,653,10,7932
repo/wvpacooprevenuecals.for,1484,514,27,236,13,2799
